sentence	label
pulling on heartstrings 	1
seen in that light 	1
natured 	1
wazoo and sets 	0
its one-sidedness 	0
for dance completists only . 	0
septic tank 	0
a cold , calculated exercise 	0
its oh-so-hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism 	1
brave , uninhibited performances 	1
intimidated by both her subject matter 	0
has elements of romance , tragedy and even silent-movie comedy . 	1
's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding 	0
perfect for the proud warrior that still lingers in the souls of these characters 	1
, does not work . 	0
the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian 	1
a strict reality 	1
a fascinating glimpse of urban life and 	1
absolutely and completely ridiculous and 	0
looking for astute observations and coming up blank 	0
fling gags at it 	0
crisp framing , 	1
wears out her welcome in her most charmless performance 	0
i found it slow , predictable and not very amusing . 	0
that efforts toward closure only open new wounds 	0
the fact that virtually no one is bound to show up at theaters for it 	0
're left with a sour taste in your mouth 	0
it 's not clear whether we 're supposed to shriek 	0
a great performance and a reminder of dickens ' grandeur 	1
would know what to make of this italian freakshow 	0
his clamorous approach 	0
the worst sin 	0
has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock . 	1
a wholesome fantasy 	1
essentially ruined -- or 	0
a fun adventure movie 	1
come away from his film overwhelmed , hopeful and , perhaps paradoxically , illuminated 	1
with passionate enthusiasms like martin scorsese 	1
stand tall 	1
jagger , stoppard and director michael apted ... deliver a riveting and surprisingly romantic ride . 	1
drown out 	0
my friend david cross would call it , ` hungry-man portions of bad ' 	0
has no point and 	0
figures prominently in this movie , and 	1
, you will enjoy seeing how both evolve 	1
strange and beautiful film . 	1
full of detail about the man and his country , and is well worth seeing . 	1
devastated 	0
both deserve better . 	0
30 seconds of plot 	0
if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor 	0
gives the lie to many clichés and showcases a group of dedicated artists 	1
spends a bit too much time 	0
if it is n't entirely persuasive , it does give exposure to some talented performers 	1
of one unstable man 	1
directed the film from the back of a taxicab 	0
a potentially good comic premise and excellent cast are terribly wasted . 	0
clunky on the screen 	0
ill-advised and poorly 	0
as a reverie about memory and regret 	1
's hard to figure the depth of these two literary figures , and even the times in which they lived . 	0
's affecting , amusing , sad and reflective . 	1
sloppily 	0
random , superficial humor 	0
dead-end distaste 	0
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture 	1
confusing on one level or another 	0
went over my head or -- considering just 	0
an insane comic undertaking 	1
destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage 	0
stylistic austerity and forcefulness 	1
the crackle of lines , the impressive stagings of hardware 	1
i found the ring moderately absorbing , largely for its elegantly colorful look and sound . 	1
shabby script 	0
already mentioned 	0
clueless and inept 	0
laughs and insight into one of the toughest ages a kid can go through . 	1
intriguing 	1
gives ample opportunity for large-scale action and suspense 	1
... built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids . 	0
limited and so embellished by editing that there 's really not much of a sense of action 	0
its courage , ideas , technical proficiency and 	1
define a generation 	1
appetizing 	1
a remarkably cohesive whole , 	1
's a fairly impressive debut from the director , charles stone iii 	1
wrong with a comedy where the only belly laughs come from the selection of outtakes tacked onto the end credits 	0
makes the grade as tawdry trash 	0
the level of marginal competence 	0
also captures moments of spontaneous creativity and authentic co-operative interaction 	1
no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us 	0
macaroni and cheese 	0
to spoof both black and white stereotypes equally 	1
die-hard french film connoisseurs 	1
too long and bogs down in a surfeit of characters and unnecessary subplots 	0
limp biscuit 	0
that expands into a meditation on the deep deceptions of innocence 	1
has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition . 	0
plays like an extended dialogue exercise in retard 101 	0
terrific 	1
lovably 	1
upstaged by an avalanche of more appealing holiday-season product 	1
bounces 	1
an old-fashioned nature film that educates viewers with words and pictures while entertaining them 	1
they find new routes through a familiar neighborhood 	1
made to be jaglomized is the cannes film festival , the annual riviera spree of flesh , buzz , blab and money . 	0
extraordinary journalism 	1
liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances 	1
makes it a party worth attending 	1
harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . 	0
a 90-minute movie that feels five hours long 	0
( and beautifully edited ) 	1
the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country 	1
goes down easy 	0
a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability 	1
charming 	1
twenty-three movies into a mostly magnificent directorial career , clint eastwood 's efficiently minimalist style 	1
radiates star-power potential in this remarkable and memorable film 	1
the biggest is that secret ballot is a comedy , both gentle and biting . 	1
change watching such a character , 	0
in anything ever , and easily the most watchable film of the year 	1
signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . 	0
deep or substantial 	1
's not enough intelligence , wit or innovation on the screen to attract and sustain an older crowd . 	0
warped logic by writer-director kurt wimmer at the screenplay level 	0
the film itself is small and shriveled 	0
a predictable , manipulative stinker 	0
an indispensable peek at the art and the agony of making people 	1
a low , smoky and inviting sizzle 	1
felt emotions can draw people together across the walls that might otherwise separate them 	1
admire ... 	1
nothing overly original 	0
nicole holofcenter , the insightful writer/director responsible for this illuminating comedy does n't wrap the proceedings up neatly 	1
jolts the laughs 	1
incredible storyline 	1
a family of five blind , crippled , amish people alive in this situation 	0
has crafted here a worldly-wise and very funny script . 	1
marvelous documentary touches 	1
die for 	1
a chore to sit through -- despite some first-rate performances by its lead 	0
right down the reality drain 	0
collision 	0
home movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it . 	1
... a low rate annie featuring some kid who ca n't act , only echoes of jordan , and weirdo actor crispin glover screwing things up old school . 	0
markedly inactive 	0
undistinguished 	0
to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies 	0
extended , open-ended poem 	1
unimpeachable 	0
an ambitious ` what if ? ' 	1
the horror 	0
this charming , thought-provoking new york fest 	1
this is a truly , truly bad movie . 	0
to occasionally break up the live-action scenes with animated sequences 	1
a horrible , 99-minute 	0
goldmember has none of the visual wit of the previous pictures , 	0
runs 163 minutes 	0
of the intelligent , well-made b movie 	1
as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful 	0
is that it is one that allows him to churn out one mediocre movie after another 	0
overly familiar 	0
a hallucinatory dreamscape that frustrates and captivates 	1
the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing 	0
to the world trade center tragedy 	0
nurtures the multi-layers of its characters , 	1
marks a modest if encouraging return to form 	1
crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy 	1
of those crazy , mixed-up films that does n't know what it wants to be when it grows up 	0
hard to resist his enthusiasm 	1
neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present 	1
capture its visual appeal or its atmosphere 	1
choppy and sloppy affair 	0
falls far short 	0
it just zings along with vibrance and warmth . 	1
a comedy 	1
despite the film 's shortcomings , the stories are quietly moving . 	1
a plodding teen remake that 's so mechanical you can smell the grease on the plot twists . 	0
, doing its namesake proud 	1
if occasionally flawed , 	0
created a provocative 	1
fairly straightforward 	1
was able to overcome his personal obstacles and become a good man 	1
an obvious copy of one of the best films ever made , how could it not be ? 	0
third-rate 	0
not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy hollywood at its laziest . 	0
the soul of a man in pain who gradually comes to recognize it and deal with it 	1
heartwarming yarn 	1
's also built on a faulty premise , one it follows into melodrama and silliness . 	0
that interest attal and gainsbourg 	1
that rare animal 	1
this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but ayres makes the right choices at every turn 	1
gets under our skin and draws us in long 	1
discovered , indulged in 	1
riveting and surprisingly romantic 	1
the viewer 's patience with slow pacing and 	0
are served with a hack script 	0
this makes for perfectly acceptable , occasionally very enjoyable children 's entertainment . 	1
in all the right ways 	1
extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability 	1
hopkins 	1
rude , scarily funny , sorrowfully sympathetic to the damage it surveys 	1
did not figure out a coherent game 	0
the most exciting action films 	1
suffice to say its total promise is left slightly unfulfilled . 	0
most appealing movies 	1
orchestrating 	1
mediocre exercise 	0
espn 	1
only one of the best gay love stories ever made 	1
o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing . 	1
's nothing wrong with that if the film is well-crafted and this one is 	1
poetry and passion 	1
plays like one of those conversations that comic book guy on `` the simpsons '' has . 	0
is astonishing . 	1
most resonant film since the killer 	1
wonderful tale 	1
peaked 	1
with very little story or character 	0
comfort 	1
, despite several attempts at lengthy dialogue scenes , 	0
an appealing blend 	1
its electronic expression through cyber culture 	1
overwhelming pleasure 	1
great scares and a good surprise ending 	1
gooding is the energetic frontman 	1
it transporting is that it 's also one of the smartest 	1
's got as potent a topic as ever here 	1
a generic bloodbath that often becomes 	0
a solid formula 	1
spirals downward 	0
approaches his difficult , endless work with remarkable serenity and discipline . 	1
into heaven 	1
right itself precisely when you think it 's in danger of going wrong 	1
has neither the charisma nor the natural affability that has made tucker a star 	0
in the right direction 	1
has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim 	1
is even more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition 	1
burns out 	0
airless , prepackaged julia roberts wannabe 	0
upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming 	0
emotionally malleable 	0
funny or 	1
hackneyed and meanspirited 	0
an hour-and-a-half of inoffensive , unmemorable filler . 	0
to smash its face in 	0
compelling investigation 	1
demented in a good way 	1
an astonishingly witless script 	0
it 's as raw and action-packed an experience as a ringside seat at a tough-man contest . 	1
barker movie 	1
charms 	1
to have you leaving the theater with a smile on your face 	1
is throwing up his hands in surrender , 	0
a cleverly 	1
a slice of american pie hijinks 	1
what we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . 	0
a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks 	0
the overall result is an intelligent , realistic portrayal of testing boundaries . 	1
appears not to have been edited at all 	0
this overlong infomercial 	0
there 's a heavy stench of ` been there , done that ' hanging over the film . 	0
's hard not to be carried away 	1
killer 	0
... have made the old boy 's characters more quick-witted than any english lit 	1
it is thought-provoking . 	1
thrown-together feel 	0
encompasses many more paths 	1
's funny , as the old saying goes , because it 's true . 	1
snl '' has-been 	0
you to enjoy yourselves without feeling conned 	1
chance to revitalize what is and always has been remarkable about clung-to traditions 	1
it weirdly appealing 	1
deemed important enough to make a film in which someone has to be hired to portray richard dawson 	1
a bad imitation 	0
looked like crap , so crap is what i was expecting . 	0
the best case 	1
sade achieves the near-impossible 	1
but what 's nice is that there 's a casual intelligence that permeates the script . 	1
to rank with its worthy predecessors 	1
makes up for with its heart 	1
of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics 	0
a burst of color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at 	1
is both a snore and utter tripe . 	0
an mtv , sugar hysteria , and 	0
` fatal attraction ' for the teeny-bopper set 	0
unbearably lame . 	0
, entertaining and , ultimately , more perceptive moment 	1
what makes it worth the trip to the theater 	1
stiff or just plain bad 	0
... most viewers will wish there had been more of the `` queen '' and less of the `` damned . '' 	0
it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and not 	1
petty thievery like this that puts flimsy flicks like this behind bars 	0
the high-buffed gloss and high-octane jolts 	1
compared to his series of spectacular belly flops both on and off the screen 	0
a change in expression 	1
sorvino 	1
is ) looking down at your watch and realizing serving sara is n't even halfway through 	0
with this one too 	1
blockbusters as patriot games can still turn out a small , personal film with an emotional wallop 	1
scratch a hole in your head 	0
will find it more than capable of rewarding them 	1
too convoluted 	0
have made for better drama 	0
bloodbath 	0
garcia , who perfectly portrays the desperation of a very insecure man 	1
hopefully inspire action 	1
three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut 	1
you feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did 	1
made without a glimmer of intelligence or invention 	0
deep deceptions 	0
of a good movie ye who enter here 	1
is a temporal inquiry that shoulders its philosophical burden lightly . 	0
michel 	1
clearly a manipulative film 	1
the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing 	0
a celebrated wonder 	1
he does display an original talent 	1
what might have been acceptable on the printed page of iles ' book does not translate well to the screen . 	0
austerity and forcefulness 	1
brilliant motion picture 	1
thinking man 	1
the tuxedo was n't just bad ; it was , as my friend david cross would call it , ` hungry-man portions of bad ' . 	0
scorsese 's mean streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot 	0
touching and funny 	1
sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature 	0
like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge 	0
tootsie knockoff . 	0
is moody , oozing , chilling and heart-warming all at once ... 	1
suspend your disbelief here and now , or you 'll be shaking your head all the way to the credits . 	0
too much of a plunge 	0
it 's possible that something hip and transgressive was being attempted here that stubbornly refused to gel , but the result is more puzzling than unsettling . 	0
a jerry bruckheimer flick any day of the week 	1
amusing , let alone funny 	1
gets way too mushy -- and in a relatively short amount of time . 	0
although this idea is `` new '' 	0
distasteful and 	0
make ` cherish ' a very good ( but not great ) movie . 	1
in ( this ) meandering and pointless french coming-of-age import from writer-director anne-sophie birot 	0
some good material 	1
fails to arrive at any satisfying destination 	0
unholy mess 	0
have been any easier to sit through than this hastily dubbed disaster 	0
jumps around 	0
is almost certainly 	1
admire 	1
trashy teen-sleaze equivalent 	0
an important movie , 	1
directed with sensitivity and skill 	1
winds up mired in tear-drenched quicksand . 	0
a witty 	1
louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman 's script stumbles over a late-inning twist that just does n't make sense 	0
spectacle 	1
more re-creations of all those famous moments 	1
krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone 	1
rare family movie 	1
can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise 	0
, amusing and unpredictable 	1
dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer 	0
eccentrics 	0
of her life with the imagery in her paintings 	1
dazzling pop entertainment 	1
( including a knockout of a closing line ) 	1
punch and depth 	1
a master of shadow , quietude , and room noise 	1
pays tribute 	1
offers an interesting look at the rapidly changing face of beijing 	1
might be with a large dose of painkillers 	0
agonizing , catch-22 	0
this would-be ` james bond for the extreme generation ' pic is one big , dumb action movie . 	0
fidel castro 	0
literary detective story 	1
charlotte sometimes is a gem . 	1
is as difficult for the audience to take as it 	0
took of the family vacation 	1
the most original 	1
dramatic urgency 	1
in columbia pictures ' perverse idea of an animated holiday movie 	0
most incoherent 	0
figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats 	1
the best script 	1
like this movie 	1
the drama discloses almost nothing . 	0
eludes madonna and , playing a charmless witch 	1
those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen 	1
the sheer beauty of his images 	1
the filmmakers want nothing else than to show us a good time , 	1
there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see . 	0
dismember 	0
plain lurid 	0
may well be the year 's best and most unpredictable comedy 	1
to good actors 	1
to feel funny and light 	1
considerable charm 	1
worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles 	1
a masterpeice 	1
to bowling you over 	1
, claustrophobic 	0
without you has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood . 	1
does n't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain 	1
clumsily mugging their way through snow dogs 	0
a hilarious place to visit 	1
wryly amusing 	1
encourage 	1
that this film 's cast is uniformly superb 	1
quite endearing . 	1
thrill you , touch you and 	1
the bizarre is credible 	1
is cruel , misanthropic stuff with only weak claims to surrealism and black comedy . 	0
nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy . 	0
the dorkier aspects 	0
, save your disgust and your indifference 	0
immensely ambitious 	1
literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a bang-up job of pleasing the crowds . 	1
our most flamboyant female comics 	1
at least funny 	1
fascinating , ludicrous , provocative and vainglorious 	1
of an especially well-executed television movie 	1
this gets us in trouble 	0
use of his particular talents 	1
lethargically paced parable of renewal . 	0
you could just rent those movies instead , let alone seek out a respectable new one 	0
and engaging film 	1
ghetto 	0
robbed 	0
'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture 	1
to accomplish 	1
deceit and murder 	0
its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered . 	0
a pretty good execution 	1
captures that perverse element of the kafkaesque where identity , overnight , is robbed and replaced with a persecuted `` other . '' 	1
it 's tremendously moving 	1
unholy 	0
it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights 	1
was immensely enjoyable thanks to great performances 	1
it 's an entertaining movie 	1
like a change in ( herzog 's ) personal policy 	1
watching these two actors play 	1
fascination , and 	1
, boredom never takes hold . 	1
veers into corny sentimentality , 	0
some nice twists 	1
the rampantly designed equilibrium becomes a concept doofus 	0
drags it 	0
maintains a surprisingly buoyant tone throughout , 	1
often intense character study 	1
irony 	0
, festival in cannes offers rare insight into the structure of relationships . 	1
is dark , brooding and slow , 	0
is also a creative urge 	1
wives are worse 	0
with its own solemn insights 	1
, `` far from heaven '' is a masterpiece . 	1
amoral assassin 	0
as obvious as telling a country skunk 	0
-- a film less about refracting all of world war ii through the specific conditions of one man , and more about that man 	1
clarity 	1
find their own rhythm and protect each other from the script 's bad ideas and awkwardness . 	0
is so poorly paced you could fit all of pootie tang in between its punchlines 	0
any insight 	1
this is more appetizing than a side dish of asparagus . 	1
a wonderful , ghastly film . 	1
hollow tribute 	0
weirdly appealing 	1
assign one bright shining star to roberto benigni 's pinocchio -- 	1
in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight . 	1
no matter how much he runs around and acts like a doofus , accepting a 50-year-old in the role is creepy in a michael jackson sort of way . 	0
tom tykwer , director of the resonant and sense-spinning run lola run 	1
outside his grasp 	0
was so endlessly , grotesquely , inventive 	1
could n't help but feel the wasted potential of this slapstick comedy . 	0
ca n't quite conceal that there 's nothing resembling a spine here 	0
to begrudge anyone for receiving whatever consolation 	0
that even tunney ca n't save 	0
outstanding 	1
with the kind of visual flair that shows what great cinema can really do 	1
love to have their kids 	1
nearly three decades of bittersweet camaraderie and history 	1
fun and enjoyable 	1
the son of the bride 's humor is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues . 	1
real narrative logic 	1
in unexpected ways , touching 	1
an underdone potato 	0
truly edgy 	1
where nothing 's happening 	0
all about anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect 	1
wrong with this increasingly pervasive aspect of gay culture 	0
respects 	1
considerable 	1
will give many ministers and bible-study groups hours of material to discuss . 	1
refreshingly 	1
to perform 	1
a tasty performance 	1
allegiance to chekhov 	1
a memorable experience that , like many of his works , presents weighty issues 	1
locales 	0
cinematic experience 	1
bad soap opera 	0
enthusiastic 	1
choosing his roles with the precision of the insurance actuary 	1
holm does his sly , intricate magic , 	1
conjured up more coming-of-age stories 	1
the film is not entirely successful 	0
remotely probing or penetrating . 	0
, and 	1
hard to dismiss -- moody , thoughtful 	1
sets out to entertain and ends up delivering in good measure 	1
an often watchable , though goofy and lurid , blast of a costume drama 	1
there must be an audience that enjoys the friday series , but i would n't be interested in knowing any of them personally . 	0
deserves a place of honor next to nanook 	1
old-fashioned scary movie 	1
infuses it into a rustic , realistic , and altogether creepy tale of hidden invasion 	1
in the process comes out looking like something wholly original 	1
real humor 	1
successful adaptation 	1
mind , while watching eric rohmer 's tribute to a courageous scottish lady 	1
shimmeringly lovely 	1
the third feels limited by its short running time 	0
a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish 	1
someone who obviously knows nothing about crime 	0
interpreting the play as a call for pity and sympathy 	0
an ease 	1
need of a scented bath 	0
, excruciatingly tedious 	0
red dragon '' never cuts corners . 	1
texan director george ratliff had unlimited access to families and church meetings , 	1
a plot that crawls along at a snail 's pace 	0
our reality tv obsession , 	0
empathy and pity fogging up the screen ... his secret life enters the land of unintentional melodrama and tiresome love triangles . 	0
the setting in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place 	0
your least favorite james bond movie seem as cleverly plotted as the usual suspects 	0
a high-spirited buddy movie about the reunion of berlin 	1
a fresh infusion of creativity 	1
of control on a long patch of black ice 	0
another director ever making his wife look so bad in a major movie 	0
a reprieve 	1
deserved co-winner 	1
story for those intolerant of the more common saccharine genre 	0
too erotic 	0
the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent 	0
labute masterfully balances both traditional or modern stories together in a manner that one never overwhelms the other . 	1
's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress 	0
protagonist 	0
may lack the pungent bite of its title , but it 's an enjoyable trifle nonetheless 	1
daring 	1
i might add -- slice of comedic bliss 	1
have captured the chaos of an urban conflagration with such fury 	1
wasted minutes of sandler 	0
stunningly trite 	0
bitter 	0
impossible to claim that it is `` based on a true story '' with a straight face 	0
harrison ford low 	0
bouncy 	1
a documentary that works 	1
a terrifically entertaining specimen of spielbergian 	1
satisfying destination 	1
comes off as a kingdom more mild than wild 	1
such unrelenting dickensian decency that it turned me 	1
's a compelling and horrifying story 	1
close to real life 	1
big , dumb action movie 	0
natural sportsmen 	1
the comic touch 	1
's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain . 	0
well-thought stunts 	1
lee 's character did n't just go to a bank manager and save everyone the misery 	0
with yet another remarkable yet shockingly little-known perspective 	1
the lengths 	1
will make you wish you were at home watching that movie instead of in the theater watching this one . 	0
a weak and ineffective ghost story without a conclusion or pay off 	0
constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human . 	1
sons , loyalty and duty 	1
the barriers finally prove to be too great 	0
for drawing wrenching performances from his actors ( improvised over many months ) and for conveying the way tiny acts of kindness make ordinary life survivable 	1
uplifter . 	1
's willing to express his convictions 	1
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood . 	1
amusing and 	1
inside information 	1
's apparently nothing left to work with , sort of like michael jackson 's nose . 	0
does n't have anything really interesting to say . 	0
fast-paced and 	1
putrid it is not worth the price of the match that should be used to burn every print of the film 	0
resourceful 	1
not particularly scary 	0
eighth-grader 	1
to convince almost everyone that it was put on the screen , just for them 	1
there are some laughs in this movie 	1
way to entertain or inspire its viewers 	1
takes care 	1
bibbidy-bobbidi-bland . 	0
to the phrase ` fatal script error 	0
can only point the way -- but thank goodness for this signpost . 	1
gets old quickly . 	0
aspired 	1
how good 	1
a clever 	1
is really all about performances 	1
low-budget , video-shot 	0
, it 's as good as you remember . 	1
while it may not add up to the sum of its parts , holofcener 's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often . 	1
this rich and luscious 	1
causes of anti-semitism ever seen on screen . 	0
it 's light on the chills and heavy on the atmospheric weirdness , 	1
a stunning film , a one-of-a-kind tour de force 	1
relationship and 	1
he delivers fascinating psychological fare 	1
flops 	0
you to accept it as life and go with its flow 	1
of a love affair 	1
it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . 	0
pushes its agenda too forcefully 	0
that are so crucial to the genre and another first-rate performance by top-billed star bruce willis 	1
edgy camera work 	1
disingenuous 	0
damned compelling 	1
ideas and wry comic mayhem 	1
great impression 	1
consistently funny , in an irresistible junior-high way , and 	1
may have many agendas 	1
slopped ` em together here 	0
hooked on the delicious pulpiness of its lurid fiction 	1
does n't even qualify as a spoof of such 	0
the lazy material and the finished product 's unshapely look 	0
big-hearted and 	1
plummets 	0
it 's not very interesting . 	0
by sending the audience straight to hell 	0
terrible as the synergistic impulse that created it 	0
warped logic by writer-director kurt wimmer 	0
rare treat 	1
lackadaisical 	0
gives new meaning to the phrase ` fatal script error . ' 	0
girlfriends are bad , wives are worse and babies are the kiss of death in this bitter italian comedy . 	0
ponderous and pretentious endeavor 	0
with passion and energy 	1
you 'll want things to work out 	1
director george hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place 	0
buoyant energy level 	1
accomplishes so much that one viewing ca n't possibly be enough 	1
low-key romantic comedy 	1
are powerful and moving without stooping to base melodrama 	1
the film 's crisp , unaffected style and air of gentle longing 	1
's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland . 	0
touches smartly and wistfully 	1
... stylistically , the movie is a disaster . 	0
that rare movie that works on any number of levels -- as 	1
they fascinate in their recklessness . 	1
, solid storytelling . 	1
the most edgy piece 	1
may not be a straightforward bio 	0
who cares ? ) . 	0
's a lovely , eerie film that casts an odd , rapt spell . 	1
's its first sign of trouble 	0
patience , respect and affection 	1
a film that 's flawed and brilliant in equal measure . 	1
's a smartly directed , grown-up film of ideas 	1
is certainly amusing 	1
so lackluster 	0
that trademark grin of his -- 	1
are once again made all too clear in this schlocky horror/action hybrid . 	0
this thing works on no level whatsoever for me . 	0
his secret life enters the land of unintentional melodrama and tiresome love triangles 	0
fashioning an engrossing entertainment out 	1
( especially the frank sex scenes ) ensure that the film is never dull 	1
the movie is n't painfully bad , something to be ` fully experienced ' 	0
is not edward burns ' best film 	0
historical truth and realism 	1
a crisp psychological drama ( and ) 	1
their parents would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes . 	0
the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project 	0
his excellent cast 	1
has nothing else to watch 	0
fast-moving and cheerfully 	1
has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth . 	1
its heartfelt concern 	1
solaris is rigid and evasive in ways that soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and `` ocean 's eleven , '' never were . 	1
has the rare capability to soothe and break your heart with a single stroke . 	1
its intelligence and intensity 	1
of the ugly american 	0
rather frightening 	0
a bloated plot 	0
good natured 	1
a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast 	1
more often than not hits the bullseye 	1
intermezzo strain 	1
a clumsily manufactured exploitation flick , 	0
not to have been edited at all 	0
this film 's impressive performances and adept direction 	1
it 's a brazenly misguided project 	0
with considerable appeal 	1
unrelated shorts 	0
it was at least funny 	1
dip into your wallet , swipe 90 minutes of your time , and 	1
frailty '' starts out like a typical bible killer story 	0
switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s 	0
worth a look as a curiosity 	1
amounts to being lectured to by tech-geeks , if you 're up for that sort of thing 	0
have ransacked every old world war ii movie for overly familiar material 	0
sends you away a believer again and quite cheered at just that . 	1
been forced by his kids to watch too many barney videos 	0
america 's knee-jerk moral sanctimony 	0
pretentious types 	0
bitter nor sweet 	1
it never comes close to being either funny or scary 	0
an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people 	1
an eloquent , deeply felt meditation on the nature of compassion 	1
so perfect 	1
static set ups , not much camera movement 	0
